"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"11022","GREAT NECK, NY",,"G",32,"G",215,"H",963,8,"GREAT NECK","NY","NASSAU"
"11023","GREAT NECK, NY",,"H",2600,"H",26142,"H",118267,358,"GREAT NECK","NY","NASSAU"
"11024","GREAT NECK, NY",,"G",1115,"G",11411,"G",51312,224,"GREAT NECK","NY","NASSAU"
"11030","MANHASSET, NY",,"H",21359,"H",439637,"H",1870865,876,"MANHASSET","NY","NASSAU"
"11040","NEW HYDE PARK, NY",,"H",25904,"H",439302,"H",1886224,1558,"NEW HYDE PARK","NY","NASSAU"
"11042","NEW HYDE PARK, NY",,"G",18334,"G",404713,"G",1649813,553,"NEW HYDE PARK","NY","NASSAU"
"11050","PORT WASHINGTON, NY",,"G",15376,"G",287295,"G",1087881,1235,"PORT WASHINGTON","NY","NASSAU"
"11096","INWOOD, NY",,"G",4793,"G",78455,"G",277238,354,"INWOOD","NY","NASSAU"
"11101","LONG ISLAND CITY, NY",,"G",69514,"H",1341823,"G",4746307,3059,"LONG ISLAND CITY","NY","QUEENS"
"11102","ASTORIA, NY",,"G",8834,"G",91239,"G",390756,791,"ASTORIA","NY","QUEENS"
"11103","ASTORIA, NY",,"G",7786,"G",76912,"G",330627,1199,"ASTORIA","NY","QUEENS"
"11104","SUNNYSIDE, NY",,"H",6958,"H",83500,"H",341052,602,"SUNNYSIDE","NY","QUEENS"
"11105","ASTORIA, NY",,"G",10341,"G",148412,"G",628331,1081,"ASTORIA","NY","QUEENS"
"11106","ASTORIA, NY",,"G",10985,"G",104123,"G",452745,1145,"ASTORIA","NY","QUEENS"
"11109","LONG ISLAND CITY, NY",,"G",591,"G",4934,"G",20543,83,"LONG ISLAND CITY","NY","QUEENS"
"11120","LONG ISLAND CITY, NY",,"J",726,"J",26057,"J",80484,42,"LONG ISLAND CITY","NY","QUEENS"
"11201","BROOKLYN, NY",,"G",54841,"G",735425,"G",2990341,3189,"BROOKLYN","NY","KINGS"
"11202","BROOKLYN, NY",,"G",171,"H",1465,"H",5752,15,"BROOKLYN","NY","KINGS"
"11203","BROOKLYN, NY",,"H",17033,"H",237582,"H",981590,898,"BROOKLYN","NY","KINGS"
"11204","BROOKLYN, NY",,"G",14238,"G",100430,"G",440325,2324,"BROOKLYN","NY","KINGS"
"11205","BROOKLYN, NY",,"G",16908,"G",146590,"G",677594,1425,"BROOKLYN","NY","KINGS"
"11206","BROOKLYN, NY",,"G",20285,"G",171476,"G",721012,1427,"BROOKLYN","NY","KINGS"
"11207","BROOKLYN, NY",,"G",13810,"G",124414,"G",519809,1068,"BROOKLYN","NY","KINGS"
"11208","BROOKLYN, NY",,"G",8919,"G",81093,"G",343735,907,"BROOKLYN","NY","KINGS"
"11209","BROOKLYN, NY",,"G",15154,"H",153475,"H",635170,1990,"BROOKLYN","NY","KINGS"
"11210","BROOKLYN, NY",,"G",10223,"G",81784,"G",343931,1092,"BROOKLYN","NY","KINGS"
"11211","BROOKLYN, NY",,"G",33314,"G",258129,"G",1089193,3006,"BROOKLYN","NY","KINGS"
"11212","BROOKLYN, NY",,"H",10056,"H",124716,"H",507428,771,"BROOKLYN","NY","KINGS"
"11213","BROOKLYN, NY",,"H",7333,"H",70493,"H",292263,872,"BROOKLYN","NY","KINGS"
"11214","BROOKLYN, NY",,"G",15198,"G",112103,"G",479942,2005,"BROOKLYN","NY","KINGS"
"11215","BROOKLYN, NY",,"G",24227,"H",284162,"H",1185233,2268,"BROOKLYN","NY","KINGS"
"11216","BROOKLYN, NY",,"G",6349,"G",56380,"G",241731,866,"BROOKLYN","NY","KINGS"
"11217","BROOKLYN, NY",,"G",20324,"H",200074,"H",821382,1333,"BROOKLYN","NY","KINGS"
"11218","BROOKLYN, NY",,"G",16457,"G",128396,"G",545535,1870,"BROOKLYN","NY","KINGS"
"11219","BROOKLYN, NY",,"G",37266,"H",384433,"H",1620101,3150,"BROOKLYN","NY","KINGS"
"11220","BROOKLYN, NY",,"G",25933,"G",272418,"G",1169198,2771,"BROOKLYN","NY","KINGS"
"11221","BROOKLYN, NY",,"G",6217,"G",43532,"G",193186,766,"BROOKLYN","NY","KINGS"
"11222","BROOKLYN, NY",,"G",16992,"G",198782,"G",868083,1786,"BROOKLYN","NY","KINGS"
"11223","BROOKLYN, NY",,"G",18183,"G",136636,"G",607059,2206,"BROOKLYN","NY","KINGS"
"11224","BROOKLYN, NY",,"G",5632,"G",51974,"G",227119,739,"BROOKLYN","NY","KINGS"
"11225","BROOKLYN, NY",,"G",4976,"G",35722,"G",149709,815,"BROOKLYN","NY","KINGS"
"11226","BROOKLYN, NY",,"G",10288,"G",69714,"G",297072,1319,"BROOKLYN","NY","KINGS"
"11228","BROOKLYN, NY",,"G",5469,"G",48209,"G",205783,947,"BROOKLYN","NY","KINGS"
