PopRank,City,State,city_pop_2013,Pop2010,city_pop_chg_pcnt,ChangePercent,SqMi,city_pop_sqmi,city_longitude,city_latitude,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,state_name
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10090.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10156.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10184.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10046.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10033.0,40.848764,-73.93496,-5.0,1.0,"40.848764,-73.93496",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,11302.0,40.75945,-73.715016,-5.0,1.0,"40.75945,-73.715016",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10019.0,40.765714,-73.9856,-5.0,1.0,"40.765714,-73.9856",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10047.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10095.0,40.748181,-73.988421,-5.0,1.0,"40.748181,-73.988421",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10164.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10015.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10041.0,40.703042,-74.01009,-5.0,1.0,"40.703042,-74.01009",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10009.0,40.727093,-73.97864,-5.0,1.0,"40.727093,-73.97864",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10260.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10269.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10212.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10021.0,40.76842,-73.96045,-5.0,1.0,"40.76842,-73.96045",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10101.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10027.0,40.812665,-73.95499000000001,-5.0,1.0,"40.812665,-73.95499",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10185.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10165.0,40.752354,-73.9789,-5.0,1.0,"40.752354,-73.9789",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10282.0,40.717178999999994,-74.01433,-5.0,1.0,"40.717179,-74.01433",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10036.0,40.759510999999996,-73.99019,-5.0,1.0,"40.759511,-73.99019",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10174.0,40.751656,-73.97516,-5.0,1.0,"40.751656,-73.97516",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10032.0,40.840686,-73.94154,-5.0,1.0,"40.840686,-73.94154",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10265.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10179.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10158.0,40.749435,-73.9758,-5.0,1.0,"40.749435,-73.9758",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10045.0,40.70859,-74.008687,-5.0,1.0,"40.70859,-74.008687",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10175.0,40.754305,-73.979782,-5.0,1.0,"40.754305,-73.979782",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10279.0,40.713062,-74.00856999999999,-5.0,1.0,"40.713062,-74.00857",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10155.0,40.761103999999996,-73.968036,-5.0,1.0,"40.761104,-73.968036",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10108.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10112.0,40.759291,-73.97979000000001,-5.0,1.0,"40.759291,-73.97979",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10055.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10211.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10117.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10242.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10125.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10034.0,40.867653000000004,-73.92,-5.0,1.0,"40.867653,-73.92",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10038.0,40.709677,-74.00365,-5.0,1.0,"40.709677,-74.00365",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10154.0,40.757985999999995,-73.97267,-5.0,1.0,"40.757986,-73.97267",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10030.0,40.818151,-73.94351,-5.0,1.0,"40.818151,-73.94351",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10285.0,40.71533,-74.016306,-5.0,1.0,"40.71533,-74.016306",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10008.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10113.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10107.0,40.766428999999995,-73.98272800000001,-5.0,1.0,"40.766429,-73.982728",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10087.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10173.0,40.754302,-73.97955,-5.0,1.0,"40.754302,-73.97955",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,11517.0,40.679845,-73.98641500000001,-5.0,1.0,"40.679845,-73.986415",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10133.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10001.0,40.750741999999995,-73.99653,-5.0,1.0,"40.750742,-73.99653",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,11286.0,40.658825,-74.00449499999999,-5.0,1.0,"40.658825,-74.004495",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10213.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10082.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10028.0,40.776777,-73.9541,-5.0,1.0,"40.776777,-73.9541",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10104.0,40.760943,-73.979908,-5.0,1.0,"40.760943,-73.979908",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10153.0,40.763742,-73.97268000000001,-5.0,1.0,"40.763742,-73.97268",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10120.0,40.750628999999996,-73.989426,-5.0,1.0,"40.750629,-73.989426",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10258.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10150.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10024.0,40.786387,-73.97709,-5.0,1.0,"40.786387,-73.97709",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10273.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10079.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10025.0,40.798502,-73.96811,-5.0,1.0,"40.798502,-73.96811",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10157.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10128.0,40.781894,-73.95039,-5.0,1.0,"40.781894,-73.95039",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10270.0,40.706925,-74.008154,-5.0,1.0,"40.706925,-74.008154",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10124.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10069.0,40.775477,-73.9905,-5.0,1.0,"40.775477,-73.9905",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10105.0,40.762808,-73.978534,-5.0,1.0,"40.762808,-73.978534",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10161.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
