PopRank,City,State,Pop2013,Pop2010,Change%,ChangePercent,SqMi,PopPerSqMi,Latitude,Longitude
33,Tucson,Arizona,526116,520116,1.15,0 to 5,226.7,2294,32.1543,-110.8711
34,Fresno,California,509924,494665,3.08,0 to 5,112,4418,36.7827,-119.7945
35,Sacramento,California,479686,466488,2.83,0 to 5,97.9,4764,38.5666,-121.4686
36,Long Beach,California,469428,462257,1.55,0 to 5,50.3,9191,33.8091,-118.1553
37,Kansas City,Missouri,467007,459787,1.57,0 to 5,315,1460,39.1252,-94.5511
38,Mesa,Arizona,457587,439041,4.22,0 to 5,136.5,3218,33.4019,-111.7174
39,Virginia Beach,Virginia,448479,437994,2.39,0 to 5,249,1759,36.7793,-76.024
40,Atlanta,Georgia,447841,420003,6.63,5 to 10,133.2,3154,33.7629,-84.4227
41,Colorado Springs,Colorado,439886,416427,5.63,5 to 10,194.5,2141,38.8673,-104.7607
42,Omaha,Nebraska,434353,408958,6.21,5 to 10,127.1,3218,41.2647,-96.0419
43,Raleigh,North Carolina,431746,403892,6.9,5 to 10,142.9,2826,35.8302,-78.6414
44,Miami,Florida,417650,399457,4.55,0 to 5,35.9,11539,25.7752,-80.2086
45,Oakland,California,406253,390724,3.97,0 to 5,55.8,7004,37.7699,-122.2256
46,Minneapolis,Minnesota,400070,382578,4.57,0 to 5,54,7088,44.9633,-93.2683
47,Tulsa,Oklahoma,398121,391906,1.59,0 to 5,196.8,1992,36.1279,-95.9023
48,Cleveland,Ohio,390113,396815,-1.69,-5 to 0,77.7,5107,41.4781,-81.6795
49,Wichita,Kansas,386552,382368,1.09,0 to 5,159.3,2400,37.6907,-97.3427
50,Arlington,Texas,379577,365438,3.87,0 to 5,95.9,3811,32.7007,-97.1247
51,New Orleans,Louisiana,378715,343829,10.15,10 to 15,169.4,2029,30.0686,-89.939
52,Bakersfield,California,363630,347483,4.65,0 to 5,142.2,2444,35.3212,-119.0183
53,Tampa,Florida,352957,335709,5.14,5 to 10,113.4,3077,27.9701,-82.4797
54,Honolulu,Hawaii,347884,337256,3.15,0 to 5,60.5,5573,21.3259,-157.8453
55,Aurora,Colorado,345803,325078,6.38,5 to 10,154.1,2110,39.7082,-104.8235
56,Anaheim,California,345012,336265,2.6,0 to 5,49.8,6748,33.8555,-117.7601
57,Santa Ana,California,334227,324528,2.99,0 to 5,27.3,11901,33.7365,-117.8826
58,St. Louis,Missouri,318416,319294,-0.27,-5 to 0,61.9,5157,38.6357,-90.2446
59,Riverside,California,316619,303871,4.2,0 to 5,81.1,3745,33.9381,-117.3932
60,Corpus Christi,Texas,316381,305215,3.66,0 to 5,160.6,1900,27.7543,-97.1734
61,Lexington,Kentucky,308428,295803,4.27,0 to 5,283.6,1043,38.0402,-84.4584
62,Pittsburgh,Pennsylvania,305841,305704,0.04,0 to 5,55.4,5521,40.4398,-79.9766
63,Anchorage,Alaska,300950,291826,3.13,0 to 5,1704.7,171,61.2176,-149.8953
64,Stockton,California,298118,291707,2.2,0 to 5,61.7,4730,37.9763,-121.3133
65,Cincinnati,Ohio,297517,296943,0.19,0 to 5,77.9,3810,39.1399,-84.5064
66,Saint Paul,Minnesota,294873,285068,3.44,0 to 5,52,5484,44.9489,-93.1039
67,Toledo,Ohio,282313,287208,-1.7,-5 to 0,80.7,3559,41.6641,-83.5819
68,Greensboro,North Carolina,279639,269666,3.7,0 to 5,126.5,2131,36.0965,-79.8271
69,Newark,New Jersey,278427,277140,0.46,0 to 5,24.2,11458,40.7242,-74.1726
70,Plano,Texas,274409,259841,5.61,5 to 10,71.6,3630,33.0508,-96.7479
71,Henderson,Nevada,270811,257729,5.08,5 to 10,107.7,2392,36.0122,-115.0375
72,Lincoln,Nebraska,268738,258379,4.01,0 to 5,89.1,2899,40.809,-96.6804
73,Buffalo,New York,258959,261310,-0.9,-5 to 0,40.4,6471,42.8925,-78.8597
74,Jersey City,New Jersey,257342,247597,3.94,0 to 5,14.8,16737,40.7114,-74.0648
75,Chula Vista,California,256780,243916,5.27,5 to 10,49.6,4915,32.6277,-117.0152
76,Fort Wayne,Indiana,256496,253691,1.11,0 to 5,110.6,2293,41.0882,-85.1439
77,Orlando,Florida,255483,238300,7.21,5 to 10,102.4,2327,28.4159,-81.2988
78,St. Petersburg,Florida,249688,244769,2.01,0 to 5,61.7,3964,27.762,-82.6441
79,Chandler,Arizona,249146,236123,5.52,5 to 10,64.4,3666,33.2829,-111.8549
80,Laredo,Texas,248142,236091,5.1,5 to 10,88.9,2655,27.5477,-99.4869
81,Norfolk,Virginia,246139,242803,1.37,0 to 5,54.1,4486,36.923,-76.2446
82,Durham,North Carolina,245475,228330,7.51,5 to 10,107.4,2127,35.981,-78.9056
83,Madison,Wisconsin,243344,233209,4.35,0 to 5,76.8,3037,43.0878,-89.4301
84,Lubbock,Texas,239538,229573,4.34,0 to 5,122.4,1875,33.5665,-101.8867
85,Irvine,California,236716,212375,11.46,10 to 15,66.1,3213,33.6784,-117.7713
86,Winston-Salem,North Carolina,236441,229617,2.97,0 to 5,132.4,1734,36.1033,-80.2606
87,Glendale,Arizona,234632,226721,3.49,0 to 5,60,3780,33.5331,-112.1899
